estimated_nights_booked,price,minimum_nights,calculated_host_listings_count,estimated_nights_booked_binary,room_type_Hotel room,room_type_Private room,room_type_Shared room,latitude,longitude
23.04,150.0,3,5,0,0.0,0.0,0.0,,
26.88,35.0,7,2,0,0.0,1.0,0.0,,
123.84,92.0,2,1,1,0.0,0.0,0.0,,
39.6,400.0,5,1,0,0.0,0.0,0.0,,
86.39999999999999,390.0,6,1,1,0.0,0.0,0.0,,
15.12,163.0,1,11,0,0.0,0.0,0.0,,
72.96000000000001,77.0,4,2,1,0.0,1.0,0.0,,
90.0,209.0,5,3,1,0.0,0.0,0.0,,
0.48,30.0,2,1,0,0.0,1.0,0.0,,
291.84000000000003,39.0,4,1,1,0.0,1.0,0.0,,
18.72,52.0,3,3,0,0.0,1.0,0.0,,
144.00000000000003,35.0,30,1,1,0.0,1.0,0.0,,
432.0,70.0,120,1,1,0.0,0.0,0.0,,
92.88,175.0,3,4,1,0.0,0.0,0.0,,
12.0,140.0,1,2,0,0.0,1.0,0.0,,
196.8,100.0,20,1,1,0.0,0.0,0.0,,
141.84,90.0,3,8,1,0.0,1.0,0.0,,
45.36,126.0,7,1,0,0.0,0.0,0.0,,
2.4000000000000004,285.0,2,3,0,0.0,1.0,0.0,,
15.6,124.0,5,1,0,0.0,0.0,0.0,,
34.08,72.0,2,2,0,0.0,1.0,0.0,,
52.08,182.0,1,3,1,0.0,0.0,0.0,,
209.28000000000003,134.0,2,3,1,0.0,0.0,0.0,,
82.8,159.0,5,1,1,0.0,0.0,0.0,,
3.12,58.0,1,5,0,0.0,1.0,0.0,,
12.96,60.0,3,1,0,0.0,1.0,0.0,,
1572.48,110.0,364,2,1,0.0,1.0,0.0,,
240.0,150.0,20,1,1,0.0,0.0,0.0,,
72.48,92.0,2,7,1,0.0,0.0,0.0,,
14.4,44.0,1,1,0,0.0,1.0,0.0,,
1.68,304.0,7,1,0,0.0,0.0,0.0,,
60.48,729.0,2,1,1,0.0,0.0,0.0,,
66.24000000000001,586.0,3,1,1,0.0,0.0,0.0,,
241.92,110.0,21,1,1,0.0,0.0,0.0,,
103.68,120.0,8,1,1,0.0,0.0,0.0,,
109.44,133.0,2,1,1,0.0,0.0,0.0,,
67.92,62.0,1,1,1,0.0,1.0,0.0,,
148.32,275.0,3,3,1,0.0,0.0,0.0,,
10.8,150.0,3,1,0,0.0,0.0,0.0,,
19.44,86.0,1,1,0,0.0,1.0,0.0,,
3.6,41.0,1,5,0,0.0,1.0,0.0,,
6.24,380.0,1,4,0,0.0,1.0,0.0,,
75.60000000000001,170.0,3,7,1,0.0,0.0,0.0,,
37.2,50.0,5,2,0,0.0,1.0,0.0,,
10.8,60.0,3,3,0,0.0,1.0,0.0,,
157.92000000000002,50.0,2,3,1,0.0,1.0,0.0,,
26.64,64.0,3,4,0,0.0,1.0,0.0,,
74.39999999999999,190.0,10,1,1,0.0,0.0,0.0,,
61.2,414.0,5,9,1,0.0,0.0,0.0,,
114.24,59.0,2,2,1,0.0,1.0,0.0,,
83.03999999999999,40.0,2,1,1,0.0,1.0,0.0,,
69.12,134.0,3,1,1,0.0,0.0,0.0,,
80.64000000000001,128.0,3,2,1,0.0,0.0,0.0,,
10.080000000000002,475.0,3,1,0,0.0,0.0,0.0,,
86.16,80.0,1,1,1,0.0,1.0,0.0,,
62.16,49.0,7,2,1,0.0,1.0,0.0,,
9.6,230.0,5,2,0,0.0,0.0,0.0,,
108.0,78.0,30,1,1,0.0,0.0,0.0,,
14.400000000000002,96.0,3,1,0,0.0,0.0,0.0,,
12.24,1559.0,3,30,0,0.0,0.0,0.0,,
15.84,85.0,2,1,0,0.0,0.0,0.0,,
6.48,260.0,3,24,0,0.0,0.0,0.0,,
42.48,151.0,3,5,0,0.0,0.0,0.0,,
18.0,124.0,1,3,0,0.0,0.0,0.0,,
96.96,215.0,2,1,1,0.0,0.0,0.0,,
97.43999999999998,474.0,7,1,1,0.0,0.0,0.0,,
540.0,160.0,90,1,1,0.0,0.0,0.0,,
104.16,105.0,2,2,1,0.0,1.0,0.0,,
42.24,55.0,4,5,0,0.0,1.0,0.0,,
438.00000000000006,120.0,365,1,1,0.0,0.0,0.0,,
76.80000000000001,179.0,4,1,1,0.0,0.0,0.0,,
1.92,100.0,1,1,0,0.0,1.0,0.0,,
39.6,52.0,1,7,0,0.0,1.0,0.0,,
107.52,95.0,14,1,1,0.0,0.0,0.0,,
12.96,96.0,2,2,0,0.0,1.0,0.0,,
0.24,200.0,1,1,0,0.0,1.0,0.0,,
29.28,85.0,1,2,0,0.0,1.0,0.0,,
41.75999999999999,82.0,3,1,0,0.0,0.0,0.0,,
2.16,326.0,1,47,0,0.0,0.0,0.0,,
23.52,120.0,2,1,0,0.0,0.0,0.0,,
4.800000000000001,559.0,4,1,0,0.0,0.0,0.0,,
71.52,75.0,1,2,1,0.0,1.0,0.0,,
38.4,90.0,5,1,0,0.0,1.0,0.0,,
23.52,82.0,1,1,0,0.0,1.0,0.0,,
34.56,90.0,3,4,0,0.0,0.0,0.0,,
31.200000000000003,76.0,1,1,0,0.0,0.0,0.0,,
41.04,189.0,3,2,0,0.0,0.0,0.0,,
57.6,35.0,2,2,1,0.0,1.0,0.0,,
