id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,estimated_nights_booked
1723382,Rental unit in London · ★4.04 · 1 bedroom · 2 beds · 1 bath,9084317,Sabine,,Tower Hamlets,51.5284,-0.07384,Entire home/apt,100.0,20,51,2023-04-17,0.41,1,282,2,,196
2926013,Home in London · ★4.85 · 1 bedroom · 1 bed · 1 private bath,1807787,Inge,,Hammersmith and Fulham,51.49001,-0.24296,Private room,90.0,3,228,2023-12-02,1.97,8,167,27,,141
2971708,Home in London · ★4.79 · 2 bedrooms · 4 beds · 1 bath,7469815,Angela,,Greenwich,51.4862,0.00406,Entire home/apt,134.0,2,489,2023-11-26,4.36,3,339,59,,209
1902251,Home in London · ★4.24 · 1 bedroom · 1 bed · 2 baths,3467954,Braiden,,Bexley,51.4925,0.13147,Private room,110.0,364,22,2022-12-11,0.18,2,149,1,,1572
1905484,Rental unit in Greater London · ★4.80 · 1 bedroom · 1 bed · 1 bath,9214823,Chris,,Camden,51.51713,-0.13172,Entire home/apt,150.0,20,60,2023-04-09,0.5,1,21,2,,240
3295048,Rental unit in London · ★4.67 · 2 bedrooms · 1 bed · 1 bath,12281741,Maha,,Islington,51.5558,-0.13749,Entire home/apt,110.0,21,55,2023-08-03,0.48,1,182,2,,241
3297912,Rental unit in London · ★4.98 · 1 bedroom · 1 bed · 1 bath,289467,Michael,,Islington,51.5544,-0.11022,Entire home/apt,120.0,8,61,2023-07-30,0.54,1,153,6,,103
2254222,Rental unit in Greater London · ★4.93 · 1 bedroom · 1 bed · 1 bath,11511744,Jessica,,Hammersmith and Fulham,51.48793264637151,-0.2093693433577885,Entire home/apt,133.0,2,14,2023-11-24,2.28,1,97,14,,109
3330074,Rental unit in London · ★4.64 · 3 bedrooms · 3 beds · 2 baths,16812101,Ronan,,Hammersmith and Fulham,51.5169,-0.2263,Entire home/apt,275.0,3,236,2023-11-15,2.06,3,242,26,,148
2691533,Home in London · ★4.60 · 1 bedroom · 1 bed · 1 shared bath,13767792,Rajna & Zika,,Hammersmith and Fulham,51.50258,-0.21831,Private room,50.0,2,381,2023-12-08,3.29,3,345,59,,157
3041621,Condo in London · ★4.80 · 1 bedroom · 1 bed · 1 shared bath,15487631,Rosie Amber And Razan,,Wandsworth,51.47995,-0.16534,Private room,59.0,2,276,2023-11-26,2.38,2,78,60,,114
3441671,Rental unit in London · ★3.86 · 1 bedroom · 1 bed · 1 bath,1771471,Sandra,,Hammersmith and Fulham,51.47169,-0.19151,Entire home/apt,78.0,30,14,2023-11-07,0.15,1,357,3,,107
